time,open,high,low,close,tick_volume,spread,real_volume,body,body_abs,range,upper_wick,lower_wick,is_red,is_green,ret_1,ret_3,ret_5,ret_10,log_ret,rsi,atr,adx,ema_10,ema_20,ema_50,ema_100,ema_200,ema10_slope_5,ema20_slope_5,ema50_slope_5,dist_ema20_atr,dist_ema50_atr,dist_ema200_atr,rolling_red_ratio_5,rolling_red_ratio_10,rolling_green_ratio_5,rolling_vol_10,downside_vol_10,drawdown_pct,red_streak,green_streak,date,label,bear_window_id,target_active_bear,target_exhaustion_vs_active,bear_prob,exhaust_prob
2020-01-01 00:00:00+00:00,8251.5,8262.25,8247.75,8254.5,2918,0,3515,3.0,3.0,14.5,7.75,3.75,0,1,,,,,,,,,8254.5,8254.5,8254.5,8254.5,8254.5,,,,,,,,,,,,0.0,0,1,2020-01-01 00:00:00+00:00,OUTSIDE,,0,,0.1119768243121088,0.0
2020-01-02 00:00:00+00:00,8255.5,8385.5,8251.0,8377.25,140825,0,169276,121.75,121.75,134.5,8.25,4.5,0,1,0.0148706766006421,,,,0.014761192160007,,,,8276.818181818182,8266.190476190477,8259.313725490196,8256.930693069306,8255.721393034826,,,,,,,,,,,,0.0,0,2,2020-01-02 00:00:00+00:00,OUTSIDE,,0,,0.11250148302321088,0.0
2020-01-03 00:00:00+00:00,8377.0,8386.25,8213.75,8288.75,269091,0,312235,-88.25,88.25,172.5,9.25,75.0,1,0,-0.0105643260019696,,,,-0.0106205246448531,,,,8278.987603305784,8268.339002267574,8260.468089196464,8257.560778355062,8256.0500358902,,,,,,,,,,,,-0.0105643260019696,1,0,2020-01-03 00:00:00+00:00,OUTSIDE,,0,,0.14449510687138295,0.0
2020-01-05 00:00:00+00:00,8288.75,8288.75,8226.25,8256.5,8115,0,9582,-32.25,32.25,62.5,0.0,30.25,1,0,-0.003890815864877,0.0002422920831062,,,-0.0038984047800347,,,,8274.898948159278,8267.21147824209,8260.312477855427,8257.53977284308,8256.054513145025,,,,,,,,,,,,-0.0144140380196364,2,0,2020-01-05 00:00:00+00:00,OUTSIDE,,0,,0.13378497741799644,0.0
2020-01-06 00:00:00+00:00,8256.75,8351.0,8201.5,8327.5,180478,0,215709,70.75,70.75,149.5,23.5,55.25,0,1,0.008599285411494,-0.0059387030350055,,,0.0085625221647909,,,,8284.462775766682,8272.953242219035,8262.94728264541,8258.92512387589,8256.765413511741,,,,,,,0.4,,0.6,,,-0.0059387030350055,0,1,2020-01-06 00:00:00+00:00,OUTSIDE,,0,,0.10657074579169241,0.0
2020-01-07 00:00:00+00:00,8327.5,8373.0,8205.5,8230.5,225263,0,264607,-97.0,97.0,167.5,45.5,25.0,1,0,-0.0116481537075953,-0.0070275976474136,-0.0029075049972742,,-0.0117165249006934,,,,8274.651361990922,8268.910076293412,8261.674840188727,8258.362250135773,8256.504066113615,20.15136199092194,14.410076293412205,7.174840188727103,,,,0.6,,0.4,,,-0.0175176818168253,1,0,2020-01-07 00:00:00+00:00,OUTSIDE,,0,,0.2286153660203816,0.0
2020-01-08 00:00:00+00:00,8231.0,8451.0,8156.75,8430.5,330649,0,383698,199.5,199.5,294.25,20.5,74.25,0,1,0.0242998602758033,0.0210743050929571,0.0063565012384732,,0.0240093160508951,,,,8302.987477992572,8284.299592836896,8268.29543469113,8261.770918449916,8258.235368938356,26.169296174390183,18.109116646419352,8.981709200934347,,,,0.6,,0.4,,,0.0,0,1,2020-01-08 00:00:00+00:00,OUTSIDE,,0,,0.17403124046918161,0.0
2020-01-09 00:00:00+00:00,8430.75,8500.75,8411.0,8494.0,199143,0,238451,63.25,63.25,89.75,6.75,19.75,0,1,0.0075321748413499,0.0199939957970578,0.0247624792640628,,0.0075039496551809,,,,8337.717027448467,8304.271060185763,8277.146594115007,8266.369514124175,8260.581285665337,58.72942414268255,35.93205791818946,16.678504918543695,,,,0.4,,0.6,,,0.0,0,2,2020-01-09 00:00:00+00:00,OUTSIDE,,0,,0.10671816365480802,0.0
2020-01-10 00:00:00+00:00,8494.25,8533.75,8445.0,8456.75,193952,0,231482,-37.5,37.5,88.75,39.5,11.75,1,0,-0.004385448551919,0.0274892169370026,0.0242536183612911,,-0.0043950928380951,,,,8359.3593860942,8318.792863977596,8284.189864934027,8270.139424735577,8262.533213171155,84.46043793492208,51.581385735506046,23.877387078600805,,,,0.4,,0.6,,,-0.004385448551919,1,0,2020-01-10 00:00:00+00:00,OUTSIDE,,0,,0.13686482244104195,0.0
2020-01-12 00:00:00+00:00,8456.75,8479.0,8456.75,8466.0,3542,0,4096,9.25,9.25,22.25,13.0,0.0,0,1,0.0010938008100038,0.0042109008955577,0.0166316421495047,,0.0010932030457482,,,,8378.748588622528,8332.812591217826,8291.3196741523,8274.017851968536,8264.557758313731,94.2858128558455,59.859348998790665,28.37239150689129,,,,0.4,0.4,0.6,,,-0.0032964445490935,0,1,2020-01-12 00:00:00+00:00,OUTSIDE,,0,,0.1078640958515882,0.0
